mean,mean,mean
8.83,264.3,1230.1
9.491,260.9,1557.9
8.712,259.6,1157.4
8.703,255.8,1151.5
8.782,260.1,1193.6
8.739,204.9,1211.2
8.805,198.9,1255.4
9.304,201.1,509.61
9.162,200.2,1214.8
9.073,203.2,1370.2
8.707,206.6,1191.6
8.645,208.3,1085.7
8.89,218.4,1294.3
9.129,213.4,1340.2
9.334,212.8,1402.2
9.207,210.7,1444.4
9.041,211.2,1345.5
8.736,212.3,1193.4
8.64,209.5,1134.6
8.687,207.3,1200.9
9.079,317.8,1651.9
8.94,320.1,1653.7
8.62,319.6,1334.4
8.8,319,1775.3
9.111,320.8,1427.8
9.082,319.9,1440.4
9.064,315.2,1626.3
9.051,313.8,1583.8
8.671,312.6,1310.7
8.859,303.9,1313.8
8.887,304.7,1751.2
8.695,306.6,1331.9
8.715,306,1133.8
8.783,304.2,941.35
8.572,306.5,882.46
8.557,304.7,879.91
8.521,296.8,1024.3
8.731,297.8,1153.9
8.503,263.8,1061.2
8.691,263,1141.9
8.987,254.5,1321.8
9.255,258.8,1454.4
9.104,262.8,1403.6
9.494,133.2,1030.1
9.027,336.5,1099.9
8.63,329,1262.8
8.704,330,887.72
8.837,331.7,830.91
9.334,309.1,1141.7
9.311,38.73,665.44
9.402,6.95,1179.1
9.441,5.89,1123.3
9.111,7.14,913.88
9.251,9.35,899.27
9.449,9.15,1036.5
9.264,6.68,717.17
8.97,7.49,833.37
8.532,6.91,706.2
8.96,351.9,744.82
8.674,350.8,891.09
8.626,349.6,520.72
8.69,352.1,508.89
8.968,349.3,695.38
8.845,349.2,677.9
8.929,349.5,556.25
9.213,350.8,610.86
8.712,353.6,596.23
8.769,55.74,479.43
8.731,353.8,520.52
8.86,352.6,549.85
8.874,58.64,492.78
8.61,343,729.5
9.085,339.2,743.61
9.083,340,715.38
9.444,347.9,660.12
8.659,344,549.97
9.464,333.6,1086
9.234,333.9,1271.5
8.566,331.4,959.07
8.793,358.9,575.35
8.791,1.22,582.32
9.088,4.85,476.58
8.668,4.8,502.97
8.79,191.4,1245.9
9.078,183.3,1398.7
9.247,179.6,1585
9.097,166.7,1514.6
8.611,105.7,1076.8
8.875,105.9,1288.6
8.972,107.4,1229.6
8.845,108.8,1013.2
8.931,108.9,977.3
9.355,110.1,1026.1
9.133,108.2,1194.2
9.195,106.6,1393.7
8.994,104.5,1634.8
9.009,88.98,1214.8
8.834,87.18,1073.2
9.121,89.56,986.42
9.014,88.03,1448.3
9.257,87.59,1251.2
8.982,24.03,788.74
8.566,24.3,713.02
8.506,16.17,618.7
8.66,14.59,636.17
9.412,17.72,1036.9
9.276,15.83,1028.1
9.495,8.07,840.2
9.286,13.17,763.55
9.393,16.65,877.75
9.057,11.55,867.65
9.153,13.84,811.7
9.186,10.92,727.54
9.219,10.47,807.63
9.107,12.04,631.25
9.251,9.59,953.58
9.031,11.18,774.91
8.598,14.62,732.04
8.863,200.8,1232.4
8.753,202.1,1188.1
8.905,204.3,1256.5
9.174,202.8,1439.7
9.282,200.4,1567
9.193,217.3,1400
8.661,239.5,1134.3
9.231,232.6,1441
8.934,223.4,1267.1
8.803,278.4,1254.2
8.975,279.8,1327.2
8.583,131.8,593.83
8.643,132.4,795.07
8.901,134.1,951.94
8.732,134.8,723.92
8.538,133.4,911.55
8.784,132.8,824.74
8.879,134.7,744.4
8.645,133.8,741.03
8.999,131.1,1835.7
9.342,224.7,1472
9.449,231.9,1531.1
8.989,269.2,1323.7
8.514,255.2,1074.3
9.002,272,1162.6
9.412,267,1540.4
9.172,262.3,1408.7
9.24,239.7,1440.6
8.813,239.5,1219.8
8.721,242.5,1180.9
8.861,220.8,1250.7
9.15,217.6,1376.1
9.473,218.5,1571.1
9.318,220.8,1519.3
9.059,220.5,1359.5
8.878,219.7,1256.7
8.882,208.4,1260.7
9.311,205.5,1484.2
9.208,201.7,1433.6
9.429,197.3,1540.6
9.434,194.6,1544.3
9.212,188.5,1440.9
9.026,184.3,1342.9
9.203,186.3,1443.5
8.76,179.8,1363.8
8.773,178.9,1493.3
9.057,177.7,1538.9
8.895,172,1418.5
8.775,170.6,1233.9
8.929,170.5,1529.7
9.156,177.4,1409.8
9.318,148,1452.4
8.63,137.4,588.27
9.07,139.2,1178.4
9.149,142.5,1558.6
9.244,141.5,1467.3
9.406,140.8,1634.6
9.495,139.4,1467.3
8.842,143.4,1169.6
8.88,144.9,1180.6
8.666,144.1,1294.1
8.505,145.5,1054.2
8.758,149.1,822.12
8.819,151.8,719.64
9.191,160.3,1116.9
9.206,166.6,1427.1
9.238,167.2,1380.6
9.407,168.5,1516.9
9.075,169.8,1579.3
9.02,169.8,1498.9
8.585,169.8,1397.4
8.516,170.8,1137.1
8.699,174.2,1103.9
8.879,138.6,411.03
8.78,139.5,490.36
9.166,142.2,636.87
9.364,140.2,794.34
8.965,140.7,497.82
9.036,140.5,623.78
9.332,139,212.76
9.312,139.9,923.39
9.058,243.1,1357.1
9.036,243.5,1360.9
9.337,243.6,1500.1
9.433,243.7,1459.5
9.11,236.6,1388.6
8.603,232,1134.4
8.739,230.1,1182.2
9.36,235.4,1544.4
9.084,234.7,1401.6
9.268,234.8,1439
9.148,232.2,1394
8.7,232.4,1196.8
9.205,233.4,1442.5
9.227,232.1,1438.8
9.259,236.1,1500.4
9.446,236.3,1513
9.486,236.7,1562.6
9.446,235.7,1542
9.158,234.2,1404.9
9.375,232.3,1560.2
9.269,230.6,1462.2
9.419,245.3,1567.9
9.276,246.8,1478.6
9.418,249.8,1520.5
9.291,249.8,1482.5
9.039,249.8,1339.9
8.732,249.8,1175.5
8.864,249.8,1246.7
8.771,84.72,625.9
9.23,353.4,553.68
8.547,357,475.69
8.541,354.2,510.97
9.081,354.9,454.39
8.715,279.4,385.22
8.591,8.97,358.65
8.51,67.78,588.32
8.633,54.89,699.79
8.918,86.05,648.21
9.406,85.78,728.49
8.986,62.84,547.27
9.056,194.1,1334.1
9.153,204.6,1493.9
8.71,212.7,1146.7
8.964,210.7,1314.9
8.588,207.5,1060
9.478,134.4,348.46
9.25,131.2,255.35
8.8,130.5,235.65
8.936,132.8,253.03
9.219,199.7,1464.7
9.167,200.1,1393.8
9.451,204.4,1558.5
9.314,210,1487.2
9.023,215.9,1337.6
8.55,221.2,1113.2
8.632,356.6,383.67
8.88,359.2,293.61
9.418,48.4,221.14
9.44,38.44,737.53
9.194,34.11,552.78
8.992,35.62,540.64
9.151,37.91,541.87
9.482,40.61,499.5
9.388,49.37,376.55
9.474,46.13,388.93
8.588,36.97,314.68
9.496,44.24,446.49
8.9,47.14,449.19
8.869,52.23,328.93
8.976,52.92,386.39
8.676,50.33,350.9
8.78,53.43,403.58
8.524,52.3,513.77
8.532,43.95,537.6
8.671,49.71,438.62
8.853,50.89,391.49
8.594,53.28,464.42
8.538,53.1,317.64
8.707,91.84,688.18
8.817,91.35,823.61
9.465,95.58,1001
8.958,87.76,1133.9
9.176,84.25,1540.7
9.422,80.35,762.07
8.873,79.45,823.82
8.703,78.22,545.64
8.681,80.04,931.5
8.691,80.06,2054.7
9.302,85.11,1506
8.99,87.75,934.68
9.162,91.61,871.26
8.532,90.74,733.11
9.41,83.63,1075.5
9.465,88.07,1247.7
8.574,84.22,1506.3
8.644,87.02,1045.6
8.671,86.27,1023.6
8.573,85.36,1018.5
8.766,67.52,776.49
8.851,67.92,887.54
8.788,69.9,924.27
8.686,68.34,938.07
8.616,70.14,992.6
8.967,71.11,917.03
9.355,71.85,1073
9.498,71.59,1233.6
9.427,87.54,1851.1
9.127,91.61,1231.3
8.708,92.35,684.27
9.01,92.29,1299.5
9.452,92.28,1069.4
8.65,76.11,614.85
9.092,192.5,1338.5
8.605,191.6,1081.7
8.668,151,745.8
8.862,150,940.07
8.62,146.5,1011.6
8.672,146.5,1091.8
8.756,146.4,1170
8.733,146.4,1179.9
8.927,146.4,1275.5
8.892,146.4,1327.1
9.035,146.4,1437.5
9.291,146.4,1561.3
9.292,144.5,1566.7
9.17,143.3,1599.4
9.243,143.3,1664.1
9.333,141.6,1614.4
9.201,141.6,1517.9
9.182,141.7,1513
9.147,141.7,1345.7
9.182,141.8,1401.5
9.397,142.7,1592
9.236,150.1,1799.2
8.613,138.2,669.5
8.566,139,907.98
8.586,138.6,1168.1
8.529,142.9,1514.9
8.984,140.7,1546.8
9.455,139,989.51
9.469,137,620.75
9.434,139.3,1370
8.98,141.6,635.77
8.864,140.5,561.29
8.63,140.4,396.69
8.509,139,339.16
8.626,130,294.63
8.789,140.1,469.2
8.596,162.7,147.85
9.178,141.6,1453.8
8.523,136,191.19
8.688,134.5,176
9.429,88.22,1227.5
9.168,90.01,1089
8.756,96.19,703.51
8.609,93.06,928.03
8.773,92.91,662.17
8.839,93.15,894.56
8.505,91.44,952.73
9.021,251.6,1330.8
8.565,144,819.99
8.911,145.1,635.27
9.072,133.7,635.97
9.019,134.4,868.41
9.306,129.7,570.79
9.485,117.2,994.76
9.436,110.9,841.4
9.215,113.8,848.64
9.346,99.17,2099.6
9.251,99.53,1622.9
9.309,104.6,1520.2
9.449,97.79,1520
8.975,97.94,1319.1
9.065,96.27,1657.5
9.437,96.48,1223.8
9.335,99.19,2076.8
9.434,97.01,1899.3
9.127,101,1453.9
8.735,97.37,779.76
8.519,152.3,1360.2
8.754,151.5,1309
9.219,153.1,1611.6
8.605,154.3,1219
8.829,158.3,1426.2
8.762,157.9,1377.6
8.636,158.9,1421.7
8.896,157.3,1528
8.986,156.7,1542.1
9.203,157,1498.7
9.056,155.8,1537
8.973,153.6,1464.3
9.003,156.6,1245.9
9.211,155.5,1293.1
8.669,157.3,1239.9
8.929,159.3,1080.6
8.991,213.2,1325.3
9.234,225.5,1449.2
8.997,226.9,1329.6
9.153,227.8,1410.7
9.036,224.8,1343.4
9.063,222.9,1357.9
9.064,227.7,1358.6
8.635,229.9,1149
8.609,230.6,1132.1
8.86,232.1,1251.6
8.889,234.8,1266.3
8.539,231.6,1099.3
8.654,228.8,1154.3
8.621,228.2,1145.1
8.794,235.8,1221.2
8.976,236,1315.6
8.737,234.9,1156.8
9.36,242.1,1460.2
9.085,248.2,1352.9
9.188,250.1,1406.6
9.471,251.9,1554.5
9.255,255.3,1438.6
8.545,253.5,1098.1
8.883,337.5,764.95
8.865,337.6,889.75
8.882,339.2,756.94
8.546,321.4,892.64
8.635,352.1,543.33
9.272,12.03,1094.2
8.915,351.1,440.24
8.891,333,1019.8
8.834,351.2,1694.8
8.56,41.76,244.84
